Sample,Center,Passage,Amelogenin,CSF1PO,D13S317,D16S539,D18S51,D19S433,D21S11,D2S1338,D3S1358,D5S818,D7S820,D8S1179,FGA,TH01,TPOX,vWA,Penta E,Penta D
J000116474,JAX,P0,X,"9,11","8,11","9,11","14,18","13,14","28.2,32","21,22","14,15","11,12",10,"13,14","22,24","7,10",8,"17,19",,
J000117541,JAX,P0,"X,Y",10,10,"9,12",14,"14.2,16",31.2,25,14,"11,12",10,"10,15","23,24",9.3,8,"16,17",,
J000117590,JAX,P0,X,12,11,"11,12",15,"13,14","31.2,32.2",17,14,"11,12","10,11","10,12","21,24","5.3,6",8,"16,17",,
J000117591,JAX,P0,X,12,11,"11,12",15,"13,14","31.2,32.2",17,14,"11,12","10,11","10,12","21,24","6,9.3",8,16,,
J000117663,JAX,P0,"X,Y","11,12","8,11",11,"12,17","13,13.2",29,"19,21","14,16","11,12","11,12","12,14","21,23","6,8.3","8,12","15,17",,
J000118608,JAX,P0,X,"10,12",12,11,"12,18",13,29,"19,20",15,11,"8,","13,14","19,22","6,9.3","9,11",14,,
J000118896,JAX,P0,X,12,12,"9,12","13,17","12.2,14","28,29","17,23",15,10,"10,12","12,13","21,25","6,7","8,11","15,18",,
J000119129,JAX,P0,X,10,"11,12","9,12","13,14","13,14","30,31",18,16,"11,13","9,12","14,15","23,24",9.3,"8,10","16,18",,
J000119280,JAX,P0,X,12,"11,12",9,"15,17","10.2,15.2","30,31.2","21,23",17,"12,13","8,10","13,14","22,24","7,8",8,"16,18",,
TM00001,JAX,P0,X,"11,12","7,11",10,"12,13","14,15","30,31","18,21","15,18",10,"8,9","12,14","23,24","8,9.3","8,10","16,17",,
TM00013,JAX,P0,X,"11,13","10,12","11,12","14,22","13,16","28,31.2",25,15,"11,12","11,12","10,16","20,24",6,11,17,,
TM00015,JAX,P0,"X,Y","10,13",8,12,"12,14",13,"31,32.2","23,24","15,17",11,"9,10","11,13","19,21","7,9",11,"17,18",,
TM00016,JAX,P0,X,"11,12","9,11","9,12",17,"13,14",30,24,"16,17",10,8,"12,14",21,6,"8,11","17,18",,
TM00018,JAX,,X,"11,13","11,12",13,"14,19","12,14","30,32.2","20,23","15,17",11,11,"13,14","21,23","9.3,10","8,10","17,19",,
TM00019,JAX,P0,X,"10,12","11,12","8,13","15,17","13,14","28,29",19,"17,18","10,11","10,11","12,13","20,21",6,"8,11","17,18",,
TM00020,JAX,P2,X,12,"11,13","11,12",12,14,"29,30","18,19",16,12,"8,11","13,16",22,9.3,10,17,,
TM00022,JAX,P1,X,10,12,12,"15,16",15,"28,29",24,"14,16",11,"9,12","11,12",23,9.3,8,"14,16",,
TM00023,JAX,P1,X,12,11,12,"14,15","12,14","30,32.2",17,"15,18","11,12",8,12,"24,25",7,"8,11","16,18",,
TM00024,JAX,P0,"X,Y",10,11,13,"16,17","11.2,13.2","31,33.2",25,"15,17",13,8,11,22,9,9,17,,
TM00025,JAX,P0,X,"10,12","11,12","9,13",13,14,"28,29",19,17,12,"9,12","10,11","19,26","6,7",8,"14,16",,
TM00026,JAX,P0,X,11,13,14,"12,13","13,15",29,"16,19",14,11,"8,11","12,15",20,9,"8,9",18,,
TM00037,JAX,P1,X,10,"10,12","9,11","15,19","14.2,16","28,31","17,19","17,18","12,13","12,13","10,11","19,22","7,9.3","11,12","14,17",,
TM00039,JAX,P0,"X,Y",11,9,11,"17,18","15,16","28,30",20,17,"11,12","9,11",13,"21,24",9.3,"10,12","18,19",,
TM00047,JAX,P1,"X,Y",12,8,11,"16,18","12,14,16,17","30.2,31","17,19","16,17","11,12","8,11","11,12","20,25","7,9","8,12","14,18",,
TM00051,JAX,P1,X,10,8,"9,12","12,20","14,15","30,31",17,"15,17",12,"10,11",14,"19,21",6,8,"15,16",,
