Sample,Center,Passage,Amelogenin,CSF1PO,D13S317,D16S539,D18S51,D19S433,D21S11,D2S1338,D3S1358,D5S818,D7S820,D8S1179,FGA,TH01,TPOX,vWA,Penta E,Penta D
TM01420,JAX,P0,"X,Y",",",13,",",14,15.2,",",23,"14,18",12,",","10,14","21,23","6,9.3",8,",",,
TM01423,JAX,P0,X,"10,11",11,"9,11","15,16","14,15",28,"16,21",16,"11,12","8,10",13,"24,25","7,9.3",8,"17,19",,
TM01426,JAX,P0,X,12,8,9,"13,17","14,15",30,17,17,12,10,"12,13","19,22","7,9",11,"14,17",,
TM01427,JAX,P0,"X,Y","11,12","11,12","10,11",16,"13,15",30,"17,20",18,"11,12","9,13","12,14",22,"9,9.3","9,11","15,19",,
TM01441,JAX,P0,X,11,"11,12",11,"13,16","13,14",29,"19,25","16,17",13,"10,13","11,13","22,24",8,"8,11","14,18",,
TM01442,JAX,P0,"X,Y",11,"11,12",11,"13,16","13,14","29,30","19,25","16,17",13,"10,13","11,13","22,24",8,"8,11",18,,
TM01443,JAX,P0,"X,Y",10,"13,14",12,"14,17","12,16","29,32.2","17,18",17,12,11,"10,13","20,21",6,"9,12","17,19",,
TM01446,JAX,P1,"X,Y",10,8,13,13,"13,16.2",29,26,17,12,"7,12","15,16",24,"9,9.3","8,9",16,,
TM01448,JAX,P0,X,11,"9,12","13,14",22,"13,15.2",28,"24,25",17,12,"9,10","10,15","21,23",7,"8,9","15,18",,
TM01457,JAX,P0,X,11,8,"9,11","17,18","12,14","29,32.2","24,25",16,"12,17",12,11,24,7,"8,11","18,19",,
TM01462,JAX,P0,"X,Y","10,12","12,14","9,12","12,17","14.2,",28,"20,23",17,12,"8,11","13,15","22,23","7,8","8,11","11,15",,
TM01464,JAX,P0,"X,Y","10,11","10,11",9,14,13,32.2,"24,25",15,"12,13","10,12",14,"20,23","7,9.3","8,9",19,,
TM01476,JAX,P0,X,",",12,8,14,16,"30,30.2",",",18,12,"7,10","13,14","20,21","7,9.3",8,16,,
TM01479,JAX,P0,"X,Y",12,"11,12","10,12",15,"12,16","29,31","17,18","16,17","11,12","11,13","11,13","20,26","6,9.3","8,11","17,18",,
TM01495,JAX,P0,X,"10,11","11,12","11,14",18,"12,15","29,30","17,24","16,17","11,12","10,12",13,"21,22","6,8",8,"17,19",,
TM01498,JAX,P0,X,"10,11",12,"12,13","11,13",14,"29,31","22,23",16,"10,12","8,10","9,10",19,9.3,"8,11",17,,
TM01500,JAX,P0,X,"10,12","10,12",11,15,"13,14.2,15.2","30,32.2",24,14,"9,13","8,10","11,12","21,24","6,9","9,10","17,18",,
TM01509,JAX,P0,"X,Y",,11,14,"17,20","13,16",30,"18,24","16,17","12,13",11,12,"22,24",10,"8,11",14,,
TM01510,JAX,P1,X,"11,12",12,9,"13,16",15.2,30,20,"17,18","10,12","8,9","12,14","22,23","9,9.3",8,18,,
TM01513,JAX,P0,"X,Y",11,13,"12,13",16,"13,16","28,32.2","17,25",18,12,"10,11","10,13",20,"6,9.3","11,12","17,18",,
TM01517,JAX,P0,"X,Y",11,13,9,10.2,"11,12","32.2,35","16,24","13,15",12,"10,11","13,16","23,27","7,8","9,10","15,17",,
TM01522,JAX,P1,"X,Y",12,"11,12",12,"13,15","13,14","29,32.2",",",17,11,"8,12",13,"23,24",8,"8,11",17,,
TM01533,JAX,P0,"X,Y",11,12,"8,13","15,22","13,14","27,30","18,24",16,10,"7,10","13,16",23,7,"10,12","17,18",,
TM01545,JAX,P0,X,"11,12","9,10","10,12",14,"13,14",27,25,15,"10,11","8,11","13,14","21,22",6,"9,11",16,,
TM01552,JAX,P0,X,"10,11",12,12,15,"13,15","30,32.2","16,23",15,"10,13",11,10,"22,24","6,9",8,18,,
TM01555,JAX,P1,X,"10,11",11,"9,11","13,15",13,30,"18,24",17,"12,13",12,"13,14",19,"9,10","8,11","15,18",,
TM01557,JAX,P0,X,11,"11,12","12,13","17,18",13,"28,31.2","17,18","16,17","11,","8,12","13,16","20,25","7,9","9,11","18,19",,
TM01563,JAX,P0,X,14,12,11,12,14,29,19,16,13,10,"10,12",21,9.3,8,14,,
TM01565,JAX,P0,X,12,"10,14",11,"16,18","12,17","30,31.2","19,23","16,17","11,13",10,"10,14","23,24","6,9.3","9,12","14,16",,
TM01569,JAX,P0,"X,Y",11,"10,12",11,"14,17",12.2,"29,32.2",19,15,12,12,13,26,7,8,17,,
TM01571,JAX,P0,"X,Y",11,"12,13",13,"13,15","13,15",27,24,"15,16",11,11,14,24,"7,9.3",8,"17,18",,
TM01576,JAX,P0,X,13,"11,13",13,18,"14,15",30,25,17,11,"8,11","11,16",22,9.3,11,"18,19",,
TM01578,JAX,P0,X,"10,12","10,12","11,13",15,"13,14.2,15.2","30,32.2","19,24",14,"9,13","8,10","11,12","21,24","6,9","9,10","17,18",,
TM01594,JAX,P2,"X,Y",12,"11,12","11,12","16,17","13,14","28,34","17,21","14,16","8,12","10,14","8,13","22,26","7,9.3","8,12","14,19",,
TM01611,JAX,P0,"X,Y","11,12",11,11,"14,17",14,29,,"15,17","11,13","9,11",14,24.2,"6,7",8,"14,18",,
TM01612,JAX,P0,X,"9,11","9,12","12,13",12,13,"29.2,31",22,18,"11,12","9,10","10,14","20,21",9.3,"8,11",14,,
TM01615,JAX,P0,X,"10,11","9,12",11,13,"14,16.2","28,29","17,20","15,16",11,"10,11",15,"19,20","7,9.3","8,11",16,,
TM01616,JAX,P0,"X,Y",8,"12,14","9,11",15,"14,15","29,30","17,24","16,17","11,13","8,11","11,13","19,22","7,9","8,11",19,,
TM01617,JAX,P0,"X,Y","8,10","9,14","9,11","13,15","14,15","29,30","17,24","16,17","11,13","8,11","11,13","19,22","7,9","8,11",19,,
TM01619,JAX,P0,"X,Y","8,10","9,14","9,11","13,15","14,15","29,30","17,24","16,17","11,13","8,11","11,13","19,22","7,9","8,11",19,,
TM01628,JAX,P0,"X,Y",11,9,9,"13,15","14,16",30,20,18,"10,12","8,11",10,"21,24","8,9",11,"16,17",,
TM01629,JAX,P1,X,"10,11","9,12",11,13,"14,16.2","28,29","17,20","15,16",11,"10,11","13,15","19,20","7,9.3","8,11",16,,
TM01632,JAX,P1,"X,Y","11,12",11,"9,11","15,17",13,28,"16,20","15,16","12,13","7,10","13,15","21,24",9.3,"9,11","14,16,17",,
TM01634,JAX,P0,"X,Y","10,11","12,13",11,13,"12,13","30,31",17,"15,17","8,11",12,"14,16","21,22","7,8",8,"14,17",,
